sample	date	File Name	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List
SRR28752591	2025-05-09_10-46-44	SRR28752591.fa	B3.13	NS:am1.1, MP:ea1, PB1:am4, PB2:am2.2, NA:ea1, HA:ea1, NP:am8, PA:ea1	am1.1:22-010085-001:NS, ea1:22-003707-003:MP, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am8:23-032005-001:NP, ea1:22-003707-003:PA	99.17%, 98.78%, 99.43%, 98.86%, 99.15%, 98.53%, 99.40%, 99.26%	7, 12, 13, 26, 12, 25, 9, 16	Ran on FASTA - No Coverage Report
SRR32868715	2025-05-09_10-51-14	SRR32868715.fa	D1.1	MP:ea3, PA:am4, PB1:ea3, PB2:am24, NS:ea3, NA:am4N1, NP:am13, HA:ea3	ea3:22-013001-001:MP, am4:24-030039-001:PA, ea3:22-013001-001:PB1, am24:24-030039-001:PB2, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:HA	99.90%, 99.81%, 99.28%, 99.65%, 98.69%, 99.33%, 99.60%, 99.41%	1, 4, 13, 8, 11, 7, 6, 10	Ran on FASTA - No Coverage Report
SRR32868586	2025-05-09_10-51-48	SRR32868586.fa	D1.1	NA:am4N1, PA:am4, MP:ea3, PB1:ea3, HA:ea3, PB2:am24, NP:am13, NS:ea3	am4N1:24-030039-001:NA, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am13:24-030039-001:NP, ea3:22-013001-001:NS	99.29%, 98.28%, 99.69%, 99.25%, 99.47%, 99.56%, 99.47%, 98.93%	8, 37, 3, 17, 9, 10, 8, 9	Ran on FASTA - No Coverage Report
SRR31605030	2025-05-09_10-47-52	SRR31605030.fa	B3.13	PB2:am2.2, MP:ea1, HA:ea1, PB1:am4, NA:ea1, NS:am1.1, PA:ea1, NP:am8	am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am8:23-032005-001:NP	98.64%, 98.98%, 98.53%, 99.47%, 98.79%, 99.05%, 99.02%, 98.93%	31, 10, 25, 12, 17, 8, 21, 16	Ran on FASTA - No Coverage Report
SRR32254538	2025-05-09_10-51-36	SRR32254538.fa	D1.1	PB2:am24, NS:ea3, NP:am13, NA:am4N1, HA:ea3, PA:am4, PB1:ea3, MP:ea3	am24:24-030039-001:PB2, ea3:22-013001-001:NS, am13:24-030039-001:NP, am4N1:24-030039-001:NA, ea3:22-013001-001:HA, am4:24-030039-001:PA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP	99.69%, 99.17%, 99.60%, 99.03%, 99.35%, 99.66%, 99.12%, 99.69%	7, 7, 6, 11, 11, 6, 20, 3	Ran on FASTA - No Coverage Report
SRR32653636	2025-05-09_10-48-46	SRR32653636.fa	D1.1	NS:ea3, HA:ea3, PB2:am24, PA:am4, NA:am4N1, NP:am13, PB1:ea3, MP:ea3	ea3:22-013001-001:NS, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am4:24-030039-001:PA, am4N1:24-030039-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:PB1, ea3:22-013001-001:MP	99.28%, 99.47%, 99.74%, 99.77%, 99.33%, 99.73%, 99.21%, 99.49%	6, 9, 6, 5, 7, 4, 18, 5	Ran on FASTA - No Coverage Report
SRR24839076	2025-05-09_10-45-38	SRR24839076.fa	B1.2	NS:ea1, PB2:am1.1, MP:ea1, NP:am1.2, PA:am1, PB1:am1.1, HA:ea1, NA:ea1	ea1:22-003707-003:NS, am1.1:22-009287-001:PB2, ea1:22-003707-003:MP, am1.2:22-009287-001:NP, am1:22-008890-001:PA, am1.1:22-009287-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:NA	99.76%, 99.74%, 99.90%, 99.80%, 99.86%, 99.78%, 99.47%, 99.79%	2, 6, 1, 3, 3, 5, 9, 3	Ran on FASTA - No Coverage Report
SRR31820882	2025-05-09_10-50-29	SRR31820882.fa	B3.13	NS:am1.1, HA:ea1, NA:ea1, PB1:am4, PB2:am2.2, MP:ea1, PA:ea1, NP:am8	am1.1:22-010085-001:NS, ea1:22-003707-003:HA, ea1:22-003707-003:NA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am8:23-032005-001:NP	99.17%, 98.42%, 98.79%, 99.38%, 98.68%, 98.98%, 98.84%, 99.00%	7, 27, 17, 14, 30, 10, 25, 15	Ran on FASTA - No Coverage Report
SRR32512613	2025-05-09_10-50-02	SRR32512613.fa	A3	NS:ea3, PB1:ea3, PB2:ea3, NP:ea3, PA:ea3, HA:ea3, MP:ea3, NA:ea3	ea3:22-013001-001:NS, ea3:22-013001-001:PB1, ea3:22-013001-001:PB2, ea3:22-013001-001:NP, ea3:22-013001-001:PA, ea3:22-013001-001:HA, ea3:22-013001-001:MP, ea3:22-013001-001:NA	99.64%, 99.56%, 99.87%, 99.53%, 99.49%, 99.53%, 99.80%, 98.94%	3, 10, 1, 7, 11, 8, 2, 15	Ran on FASTA - No Coverage Report
SRR31597119	2025-05-09_10-49-58	SRR31597119.fa	B3.13	NP:am8, PB2:am2.2, NA:ea1, HA:ea1, PB1:am4, MP:ea1, NS:am1.1, PA:ea1	am8:23-032005-001:NP, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, ea1:22-003707-003:PA	98.86%, 98.55%, 98.86%, 98.53%, 99.43%, 98.98%, 99.05%, 99.02%	17, 33, 16, 25, 13, 10, 8, 21	Ran on FASTA - No Coverage Report
SRR29740726	2025-05-09_10-48-06	SRR29740726.fa	B3.13	MP:ea1, NP:am8, NS:am1.1, PA:ea1, PB2:am2.2, NA:ea1, HA:ea1, PB1:am4	ea1:22-003707-003:MP, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am4:23-001855-001:PB1	98.88%, 99.33%, 98.81%, 99.16%, 98.68%, 99.08%, 98.65%, 99.52%	11, 10, 10, 18, 30, 13, 23, 11	Ran on FASTA - No Coverage Report
SRR29740462	2025-05-09_10-48-26	SRR29740462.fa	C2.1	NA:ea2, HA:ea2, PB1:am20, MP:ea1, NP:ea1, NS:ea1, PA:am3, PB2:am19	ea2:23-004612-024:NA, ea2:23-030074-013:HA, am20:23-036657-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NP, ea1:22-003707-003:NS, am3:23-036657-001:PA, am19:23-036193-005:PB2	99.79%, 99.77%, 99.69%, 99.39%, 99.60%, 98.93%, 99.72%, 99.78%	3, 4, 7, 6, 6, 9, 6, 5	Ran on FASTA - No Coverage Report
SRR30202030	2025-05-09_10-48-54	SRR30202030.fa	B3.13	MP:ea1, PA:ea1, PB2:am2.2, HA:ea1, NP:am8, NS:am1.1, PB1:am4, NA:ea1	ea1:22-003707-003:MP, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am8:23-032005-001:NP, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:NA	98.98%, 99.07%, 98.77%, 98.53%, 99.27%, 98.81%, 99.52%, 99.01%	10, 20, 28, 25, 11, 10, 11, 14	Ran on FASTA - No Coverage Report
SRR24842944	2025-05-09_10-46-27	SRR24842944.fa	B2.1	PA:ea1, HA:ea1, PB2:am1.2, NS:ea1, NA:ea1, NP:am1.1, PB1:ea1, MP:ea1	ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.2:22-007805-001:PB2, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1.1:22-007805-001:NP, ea1:22-003707-003:PB1, ea1:22-003707-003:MP	99.91%, 99.94%, 99.91%, 99.76%, 99.93%, 99.93%, 99.69%, 99.80%	2, 1, 2, 2, 1, 1, 7, 2	Ran on FASTA - No Coverage Report
SRR24839599	2025-05-09_10-46-04	SRR24839599.fa	B1.2	MP:ea1, HA:ea1, PB2:am1.1, NS:ea1, NP:am1.2, NA:ea1, PA:am1, PB1:am1.1	ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-009287-001:PB2, ea1:22-003707-003:NS, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, am1:22-008890-001:PA, am1.1:22-009287-001:PB1	99.90%, 99.71%, 99.83%, 99.76%, 99.73%, 99.72%, 99.95%, 99.78%	1, 5, 4, 2, 4, 4, 1, 5	Ran on FASTA - No Coverage Report
SRR32513262	2025-05-09_10-51-45	SRR32513262.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file	MP:am1, NP:am13, PB2:am1.1, PB1:am21, NS:am1.2	ea4:23-003641-006:HA, am1:24-032138-001:MP, am13:24-030039-001:NP, am1.1:22-009287-001:PB2, am21:24-032138-001:PB1, am1.2:22-010668-001:NS, am8:24-036222-001:PA	88.31%, 98.17%, 98.93%, 98.64%, 98.50%, 98.93%, 94.88%	9, 18, 16, 31, 33, 9, 44	Ran on FASTA - No Coverage Report
SRR31821190	2025-05-09_10-50-43	SRR31821190.fa	B3.13	NP:am8, PA:ea1, NA:ea1, MP:ea1, HA:ea1, PB1:am4, PB2:am2.2, NS:am1.1	am8:23-032005-001:NP, ea1:22-003707-003:PA, ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS	99.00%, 99.02%, 98.72%, 98.88%, 98.59%, 99.34%, 98.60%, 99.05%	15, 21, 18, 11, 24, 15, 32, 8	Ran on FASTA - No Coverage Report
SRR29377838	2025-05-09_10-47-52	SRR29377838.fa	B3.13	NS:am1.1, PB2:am2.2, PA:ea1, NA:ea1, PB1:am4, HA:ea1, MP:ea1, NP:am8	am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:NA, am4:23-001855-001:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:MP, am8:23-032005-001:NP	99.17%, 98.68%, 98.93%, 99.08%, 99.47%, 98.77%, 98.37%, 99.33%	7, 30, 23, 13, 12, 21, 16, 10	Ran on FASTA - No Coverage Report
SRR24839478	2025-05-09_10-45-51	SRR24839478.fa	A1	HA:ea1, NP:ea1, NA:ea1, PB2:ea1, PA:ea1, PB1:ea1, MP:ea1, NS:ea1	ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PB2, ea1:22-003707-003:PA, ea1:22-003707-003:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NS	99.77%, 99.93%, 99.72%, 99.93%, 98.98%, 99.82%, 99.90%, 99.76%	4, 1, 4, 1, 22, 4, 1, 2	Ran on FASTA - No Coverage Report
SRR29377878	2025-05-09_10-47-55	SRR29377878.fa	B3.13	PB1:am4, MP:ea1, PB2:am2.2, NA:ea1, NP:am8, HA:ea1, PA:ea1, NS:am1.1	am4:23-001855-001:PB1, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, am8:23-032005-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:PA, am1.1:22-010085-001:NS	99.03%, 98.88%, 98.73%, 98.94%, 99.27%, 98.59%, 98.65%, 99.05%	22, 11, 29, 15, 11, 24, 21, 8	Ran on FASTA - No Coverage Report
SRR30811292	2025-05-09_10-48-14	SRR30811292.fa	B3.13	HA:ea1, PB1:am4, PA:ea1, PB2:am2.2, MP:ea1, NS:am1.1, NA:ea1, NP:am8	ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, am8:23-032005-001:NP	98.65%, 99.56%, 99.21%, 98.68%, 98.98%, 99.05%, 98.86%, 99.27%	23, 10, 17, 30, 10, 8, 16, 11	Ran on FASTA - No Coverage Report
SRR32868790	2025-05-09_10-52-27	SRR32868790.fa	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PA:am4, NA:am4N1, HA:ea3, MP:ea3, NS:ea3, NP:am13, PB2:am24	am4:24-030039-001:PA, am4N1:24-030039-001:NA, ea3:22-013001-001:HA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am13:24-030039-001:NP, am24:24-030039-001:PB2	99.72%, 99.14%, 99.51%, 100.00%, 95.54%, 98.69%, 99.60%, 99.61%	1, 9, 8, 0, 37, 11, 6, 9	Ran on FASTA - No Coverage Report
SRR24842956	2025-05-09_10-46-28	SRR24842956.fa	B2.1	PB1:ea1, HA:ea1, NA:ea1, MP:ea1, PB2:am1.2, NP:am1.1, NS:ea1, PA:ea1	ea1:22-003707-003:PB1, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am1.2:22-007805-001:PB2, am1.1:22-007805-001:NP, ea1:22-003707-003:NS, ea1:22-003707-003:PA	99.87%, 99.94%, 99.72%, 100.00%, 99.87%, 99.80%, 99.64%, 99.95%	3, 1, 4, 0, 3, 3, 3, 1	Ran on FASTA - No Coverage Report
SRR32513269	2025-05-09_10-47-44	SRR32513269.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file	NP:am1.5, PA:am6, NS:am4, PB1:am21, MP:am1	am1.5:22-010663-005:NP, am6:24-032138-001:PA, am4:23-031867-004:NS, am21:24-032138-001:PB1, am1:24-032138-001:MP, am24:24-030039-001:PB2	98.20%, 99.26%, 98.65%, 98.06%, 99.39%, 97.02%	27, 16, 3, 44, 6, 68	Ran on FASTA - No Coverage Report
SRR31597068	2025-05-09_10-49-55	SRR31597068.fa	B3.13	PA:ea1, NS:am1.1, PB2:am2.2, NA:ea1, HA:ea1, MP:ea1, NP:am8, PB1:am4	ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:HA, ea1:22-003707-003:MP, am8:23-032005-001:NP, am4:23-001855-001:PB1	98.98%, 99.05%, 98.68%, 98.94%, 98.47%, 98.98%, 98.93%, 99.43%	22, 8, 30, 15, 26, 10, 16, 13	Ran on FASTA - No Coverage Report
SRR24839766	2025-05-09_10-46-17	SRR24839766.fa	B2.1	MP:ea1, PB2:am1.2, PB1:ea1, NP:am1.1, HA:ea1, NS:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:MP, am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, am1.1:22-007805-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA	100.00%, 99.87%, 99.96%, 99.93%, 99.88%, 99.88%, 99.93%, 99.86%	0, 3, 1, 1, 2, 1, 1, 3	Ran on FASTA - No Coverage Report
SRR32416426	2025-05-09_10-51-26	SRR32416426.fa	D1.1	NA:am4N1, NP:am13, HA:ea3, MP:ea3, PB1:ea3, NS:ea3, PA:am4, PB2:am24	am4N1:24-030039-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:HA, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am4:24-030039-001:PA, am24:24-030039-001:PB2	99.11%, 99.93%, 99.35%, 99.90%, 99.30%, 99.28%, 99.81%, 99.78%	10, 1, 11, 1, 16, 6, 4, 5	Ran on FASTA - No Coverage Report
SRR31597100	2025-05-09_10-49-56	SRR31597100.fa	B3.13	NS:am1.1, PA:ea1, PB2:am2.2, PB1:am4, MP:ea1, HA:ea1, NP:am8, NA:ea1	am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am8:23-032005-001:NP, ea1:22-003707-003:NA	98.93%, 98.93%, 98.64%, 99.52%, 98.98%, 98.42%, 99.06%, 98.86%	9, 23, 31, 11, 10, 27, 14, 16	Ran on FASTA - No Coverage Report
SRR28834950	2025-05-09_10-46-57	SRR28834950.fa	B3.6	NP:am1.4.1, HA:ea1, NA:ea1, MP:ea1, PB2:am5, PB1:am4, NS:am1.1, PA:ea1	am1.4.1:22-009329-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am5:23-001855-001:PB2, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA	99.47%, 98.77%, 99.01%, 98.98%, 99.34%, 99.47%, 98.93%, 99.16%	8, 21, 14, 10, 15, 12, 9, 18	Ran on FASTA - No Coverage Report
SRR31959938	2025-05-09_10-51-00	SRR31959938.fa	D1.1	PB1:ea3, PA:am4, HA:ea3, NP:am13, NA:am4N1, PB2:am24, MP:ea3, NS:ea3	ea3:22-013001-001:PB1, am4:24-030039-001:PA, ea3:22-013001-001:HA, am13:24-030039-001:NP, am4N1:24-030039-001:NA, am24:24-030039-001:PB2, ea3:22-013001-001:MP, ea3:22-013001-001:NS	99.25%, 99.72%, 99.47%, 99.87%, 99.33%, 99.83%, 99.90%, 99.17%	17, 6, 9, 2, 7, 4, 1, 7	Ran on FASTA - No Coverage Report
SRR32654166	2025-05-09_10-49-53	SRR32654166.fa	D1.1	PB1:ea3, PA:am4, HA:ea3, PB2:am24, MP:ea3, NP:am13, NA:am4N1, NS:ea3	ea3:22-013001-001:PB1, am4:24-030039-001:PA, ea3:22-013001-001:HA, am24:24-030039-001:PB2, ea3:22-013001-001:MP, am13:24-030039-001:NP, am4N1:24-030039-001:NA, ea3:22-013001-001:NS	99.08%, 99.77%, 99.35%, 99.69%, 99.69%, 99.60%, 99.20%, 99.17%	21, 4, 11, 7, 3, 6, 9, 7	Ran on FASTA - No Coverage Report
SRR28752547	2025-05-09_10-47-13	SRR28752547.fa	B3.13	PA:ea1, NA:ea1, PB1:am4, PB2:am2.2, NP:am8, HA:ea1, NS:am1.1, MP:ea1	ea1:22-003707-003:PA, ea1:22-003707-003:NA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, ea1:22-003707-003:MP	99.07%, 99.08%, 99.56%, 98.86%, 99.40%, 98.65%, 99.17%, 98.88%	20, 13, 10, 26, 9, 23, 7, 11	Ran on FASTA - No Coverage Report
SRR32415152	2025-05-09_10-47-08	SRR32415152.fa	D1.3	PB2:am24, NS:ea3, PB1:ea3, HA:ea3, NA:ea3, NP:am13, MP:ea3, PA:am4	am24:24-030039-001:PB2, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, ea3:22-013001-001:NA, am13:24-030039-001:NP, ea3:22-013001-001:MP, am4:24-030039-001:PA	99.65%, 98.93%, 99.25%, 99.59%, 98.65%, 99.60%, 100.00%, 99.49%	8, 9, 17, 7, 19, 6, 0, 9	Ran on FASTA - No Coverage Report
SRR29543354	2025-05-09_10-45-39	SRR29543354.fa	B3.13	PB1:am4, NS:am1.1, NA:ea1, PB2:am2.2, HA:ea1, NP:am8, MP:ea1, PA:ea1	am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am8:23-032005-001:NP, ea1:22-003707-003:MP, ea1:22-003707-003:PA	99.52%, 99.28%, 99.01%, 98.73%, 98.77%, 99.20%, 98.88%, 99.21%	11, 6, 14, 29, 21, 12, 11, 17	Ran on FASTA - No Coverage Report
SRR32125542	2025-05-09_10-51-12	SRR32125542.fa	D1.1	MP:ea3, NS:ea3, PB1:ea3, HA:ea3, NA:am4N1, NP:am13, PB2:am24, PA:am4	ea3:22-013001-001:MP, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, am13:24-030039-001:NP, am24:24-030039-001:PB2, am4:24-030039-001:PA	99.80%, 99.17%, 99.34%, 99.35%, 98.95%, 99.80%, 99.65%, 99.58%	2, 7, 15, 11, 11, 3, 8, 9	Ran on FASTA - No Coverage Report
SRR32416336	2025-05-09_10-46-19	SRR32416336.fa	D1.1	PA:am4, PB2:am24, NS:ea3, NA:am4N1, MP:ea3, NP:am13, HA:ea3, PB1:ea3	am4:24-030039-001:PA, am24:24-030039-001:PB2, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, am13:24-030039-001:NP, ea3:22-013001-001:HA, ea3:22-013001-001:PB1	99.66%, 99.74%, 98.93%, 99.47%, 100.00%, 99.73%, 99.41%, 99.33%	6, 6, 9, 6, 0, 4, 10, 12	Ran on FASTA - No Coverage Report
SRR24839380	2025-05-09_10-45-06	SRR24839380.fa	A1	MP:ea1, PA:ea1, NS:ea1, NA:ea1, HA:ea1, PB1:ea1, PB2:ea1, NP:ea1	ea1:22-003707-003:MP, ea1:22-003707-003:PA, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:HA, ea1:22-003707-003:PB1, ea1:22-003707-003:PB2, ea1:22-003707-003:NP	100.00%, 99.86%, 99.88%, 99.93%, 99.77%, 99.87%, 99.86%, 99.93%	0, 3, 1, 1, 4, 3, 2, 1	Ran on FASTA - No Coverage Report
SRR32512662	2025-05-09_10-51-56	SRR32512662.fa	D1.3	NP:am13, PB2:am24, HA:ea3, NS:ea3, PB1:ea3, MP:ea3, PA:am4, NA:ea3	am13:24-030039-001:NP, am24:24-030039-001:PB2, ea3:22-013001-001:HA, ea3:22-013001-001:NS, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, am4:24-030039-001:PA, ea3:22-013001-001:NA	99.87%, 99.86%, 99.41%, 99.28%, 99.29%, 99.90%, 99.85%, 98.94%	2, 1, 10, 6, 3, 1, 1, 15	Ran on FASTA - No Coverage Report
SRR32125710	2025-05-09_10-51-21	SRR32125710.fa	B3.13	PB2:am2.2, NP:am8, PA:ea1, MP:ea1, NA:ea1, PB1:am4, HA:ea1, NS:am1.1	am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:PA, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am4:23-001855-001:PB1, ea1:22-003707-003:HA, am1.1:22-010085-001:NS	98.64%, 98.93%, 98.79%, 98.98%, 98.94%, 99.47%, 98.36%, 99.05%	31, 16, 26, 10, 15, 12, 28, 8	Ran on FASTA - No Coverage Report
SRR31821039	2025-05-09_10-50-35	SRR31821039.fa	B3.13	NP:am8, PA:ea1, PB1:am4, NS:am1.1, PB2:am2.2, MP:ea1, HA:ea1, NA:ea1	am8:23-032005-001:NP, ea1:22-003707-003:PA, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NA	99.06%, 98.88%, 99.47%, 99.17%, 98.64%, 98.78%, 98.53%, 99.01%	14, 24, 12, 7, 31, 12, 25, 14	Ran on FASTA - No Coverage Report
SRR31914639	2025-05-09_10-50-58	SRR31914639.fa	B3.13	PB2:am2.2, PA:ea1, PB1:am4, MP:ea1, NP:am8, NA:ea1, NS:am1.1, HA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, am8:23-032005-001:NP, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, ea1:22-003707-003:HA	98.64%, 99.07%, 99.52%, 98.88%, 99.00%, 98.79%, 98.93%, 98.47%	31, 20, 11, 11, 15, 17, 9, 26	Ran on FASTA - No Coverage Report
SRR32973850	2025-05-09_10-50-26	SRR32973850.fa	B3.13	PA:ea1, PB1:am4, NA:ea1, MP:ea1, NS:am1.1, PB2:am2.2, HA:ea1, NP:am8	ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am8:23-032005-001:NP	98.75%, 99.38%, 98.65%, 98.88%, 99.17%, 98.68%, 98.42%, 98.80%	27, 14, 19, 11, 7, 30, 27, 18	Ran on FASTA - No Coverage Report
SRR30932750	2025-05-09_10-49-14	SRR30932750.fa	B3.13	PB1:am4, PA:ea1, NP:am8, NA:ea1, NS:am1.1, PB2:am2.2, MP:ea1, HA:ea1	am4:23-001855-001:PB1, ea1:22-003707-003:PA, am8:23-032005-001:NP, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:HA	99.52%, 99.02%, 99.06%, 98.94%, 99.17%, 98.68%, 98.98%, 98.47%	11, 21, 14, 15, 7, 30, 10, 26	Ran on FASTA - No Coverage Report
SRR30090397	2025-05-09_10-48-17	SRR30090397.fa	B3.13	NS:am1.1, NA:ea1, PB2:am2.2, MP:ea1, HA:ea1, PB1:am4, NP:am8, PA:ea1	am1.1:22-010085-001:NS, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:PA	99.17%, 98.94%, 98.68%, 98.47%, 98.71%, 99.47%, 99.40%, 99.02%	7, 15, 30, 15, 22, 12, 9, 21	Ran on FASTA - No Coverage Report
SRR32512567	2025-05-09_10-51-53	SRR32512567.fa	D1.1	HA:ea3, MP:ea3, NA:am4N1, PB1:ea3, NP:am13, PB2:am24, NS:ea3, PA:am4	ea3:22-013001-001:HA, ea3:22-013001-001:MP, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, am13:24-030039-001:NP, am24:24-030039-001:PB2, ea3:22-013001-001:NS, am4:24-030039-001:PA	99.53%, 100.00%, 99.11%, 99.21%, 99.87%, 99.78%, 99.05%, 99.58%	8, 0, 10, 18, 2, 5, 8, 9	Ran on FASTA - No Coverage Report
SRR32654147	2025-05-09_10-51-20	SRR32654147.fa	D1.1	PA:am4, MP:ea3, PB2:am24, PB1:ea3, NS:ea3, HA:ea3, NA:am4N1, NP:am13	am4:24-030039-001:PA, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, am13:24-030039-001:NP	99.67%, 99.69%, 99.83%, 99.43%, 99.17%, 99.53%, 99.47%, 99.80%	7, 3, 4, 13, 7, 8, 6, 3	Ran on FASTA - No Coverage Report
SRR32653656	2025-05-09_10-50-55	SRR32653656.fa	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file	PB2:am2.2, PB1:am7, PA:am8, NP:am7, NS:am1.2	am2.2:22-010445-001:PB2, am7:22-033918-001:PB1, am8:24-036222-001:PA, am7:22-039089-005:NP, am1:24-032138-001:MP, am1.2:22-010668-001:NS	99.03%, 98.37%, 98.22%, 98.13%, 97.76%, 99.05%	22, 12, 8, 28, 22, 8	Ran on FASTA - No Coverage Report
